N,trial,r,bic,log_likelihood
200,0,1,22866.366333120834,-11271.584486880702
200,0,2,18895.633239525596,-9132.56673645319
200,0,3,15450.042073819623,-7261.418267336858
200,0,4,14118.266558444713,-6452.475940752606
200,0,5,13467.345967387346,-5989.259393693674
200,0,6,15383.335994820329,-6814.796473246464
200,0,7,14921.693916187507,-6456.8158171329005
200,0,8,15979.859785605035,-6864.037452411059
200,3,1,21849.16721028351,-10762.98492546204
200,3,2,19110.486184440797,-9239.99320891079
200,3,3,15383.41457088887,-7228.104515871481
200,3,4,12842.855118991101,-5814.7702210258
200,3,5,13201.502153578966,-5856.337486789484
200,3,6,16347.458145692288,-7296.857548682444
200,3,7,14161.797635866831,-6076.867676972563
200,3,8,16186.194210509295,-6967.2046648631895
200,2,1,22360.10056407002,-11018.451602355295
200,2,2,19290.56737278932,-9330.03380308505
200,2,3,15689.001206581173,-7380.897833717633
200,2,4,13843.415625540001,-6315.05047430025
200,2,5,13703.065146149023,-6107.1189830745125
200,2,6,14394.543993907258,-6320.400472789929
200,2,7,20304.370493348677,-9148.154105713485
200,2,8,16799.99666344124,-7274.105891329163
200,1,1,21603.9427847265,-10640.372712683535
200,1,2,18391.874306606736,-8880.68726999376
200,1,3,15238.683767954373,-7155.739114404233
200,1,4,14653.556580594943,-6720.120951827721
200,1,5,13633.427113787433,-6072.299966893717
200,1,6,13499.95658635049,-5873.106769011545
200,1,7,14441.416119844947,-6216.676918961621
200,1,8,16754.121026549994,-7251.16807288354
200,4,1,22377.438768424872,-11027.120704532721
200,4,2,18971.33110923285,-9170.415671306817
200,4,3,15594.869601745122,-7333.8320312996075
200,4,4,13190.521793518363,-5988.603558289431
200,4,5,13723.101510427754,-6117.137165213878
200,4,6,14468.342860739149,-6357.299906205874
200,4,7,15889.32686578816,-6940.632291933227
200,4,8,15930.920498375599,-6839.5678087963415
500,3,1,55231.329615338516,-27426.119260667383
500,3,2,47742.59640710297,-23501.52902169536
500,3,3,38324.60597878899,-18618.524780782554
500,3,4,32156.485139057364,-15366.669942259341
500,3,5,28499.70687115891,-13376.700997751137
500,3,6,33342.22084116534,-15642.592780293797
500,3,7,34358.47575452403,-16001.56964261101
500,3,8,35809.95002561391,-16584.370791892237
500,0,1,55381.032532160745,-27500.970719078497
500,0,2,46301.38371775884,-22780.9226770233
500,0,3,37286.94752702168,-18099.6955548989
500,0,4,33480.24433729418,-16028.549541377746
500,0,5,30552.191037499215,-14402.94308092129
500,0,6,34154.239511672626,-16048.60211554744
500,0,7,31491.43338946036,-14568.048460079173
500,0,8,35777.75292238018,-16568.272240275375
500,1,1,55508.84382014584,-27564.876363071045
500,1,2,46699.36988404043,-22979.915760164095
500,1,3,38419.412984375274,-18665.928283575697
500,1,4,32140.362380982016,-15358.608563221667
500,1,5,30981.328187641815,-14617.51165599259
500,1,6,34339.165285000105,-16141.065002211179
500,1,7,37366.213448724346,-17505.438489711167
500,1,8,33923.57990117967,-15641.18572967512
500,2,1,55168.02525478687,-27394.46708039156
500,2,2,46125.98100933297,-22693.221322810365
500,2,3,37960.808176919454,-18436.625879847787
500,2,4,30959.97486981232,-14768.414807636818
500,2,5,28611.716571483972,-13432.705847913669
500,2,6,30668.36040309883,-14305.662561260544
500,2,7,35641.03845445684,-16642.850992577412
500,2,8,31599.391113721857,-14479.091335946212
500,4,1,55556.04808358132,-27588.478494788786
500,4,2,48928.501950200596,-24094.481793244177
500,4,3,37680.58745345787,-18296.515518116994
500,4,4,31282.198425298207,-14929.526585379763
500,4,5,30370.41312459341,-14312.054124468388
500,4,6,31647.356463210002,-14795.16059131613
500,4,7,35848.95066998563,-16746.807100341808
500,4,8,33292.148188278814,-15325.469873224692
