N,trial,r,cv_mse,cv_mse_std_over_folds
200,0,1,0.2954674845882491,0.004910896847752412
200,0,2,0.1962436639968174,0.009762745701648807
200,0,3,0.14769921987176496,0.005933522061370886
200,0,4,0.13179518695785938,0.0035474992822535126
200,0,5,0.17436659831072232,0.00858311604503965
200,0,6,0.14817696888719656,0.008873559189571853
200,0,7,0.15781839604038647,0.005362276557824405
200,0,8,0.19028679578618027,0.010403942617774132
200,3,1,0.27363476025842576,0.015437236810084423
200,3,2,0.20452381503163655,0.012324551744574759
200,3,3,0.15162055415484438,0.0016976007149899367
200,3,4,0.1307634598071361,0.00470674101392527
200,3,5,0.13375638394416603,0.005433755094743461
200,3,6,0.1761973995662113,0.006922022754978382
200,3,7,0.22563936912941177,0.013877222229546054
200,3,8,0.21352243347039054,0.010833496418697113
200,2,1,0.2766530427712583,0.007116020539857239
200,2,2,0.20804805090937847,0.010187504138492995
200,2,3,0.1530425683127877,0.005720938037533448
200,2,4,0.13589918994591058,0.00387559751324323
200,2,5,0.12982249329950377,0.004002986471498132
200,2,6,0.1673169445147179,0.008729210748549123
200,2,7,0.14817569299679753,0.005251150085590521
200,2,8,0.16212300046382458,0.006841184155975267
200,1,1,0.2621772371285334,0.007299490678839312
200,1,2,0.1893734540144553,0.008070680028125058
200,1,3,0.14961422777570207,0.012661370292984706
200,1,4,0.13425488645672531,0.006920045708685232
200,1,5,0.14455380588977704,0.009534148728544791
200,1,6,0.15545558153249603,0.00252272974640025
200,1,7,0.14344740676250547,0.005384469043424126
200,1,8,0.19988361147218403,0.014337008122755247
200,4,1,0.285355785959898,0.0034721395912782694
200,4,2,0.20016375051085997,0.005937139045619804
200,4,3,0.15225280285690498,0.003529588717651034
200,4,4,0.1632824828590713,0.026793001119823627
200,4,5,0.17596488912766148,0.01074473822348031
200,4,6,0.16711051383798392,0.0025758295425912115
200,4,7,0.1675263383334964,0.009816017078436072
200,4,8,0.19711154389542176,0.007858790264677418
500,3,1,0.28010105271991287,0.009657552235666493
500,3,2,0.20593641748428568,0.007695020915392814
500,3,3,0.1505280913005936,0.004117474127757995
500,3,4,0.13016943152668883,0.0012670153567074488
500,3,5,0.12877221329854308,0.0018299105387364174
500,3,6,0.1423048657843716,0.0047121460167285
500,3,7,0.13864354410501797,0.0016871047985637596
500,3,8,0.15840080062689577,0.0006210724613879558
500,0,1,0.2801719018632565,0.008166757882005521
500,0,2,0.19527766771671565,0.005934363078130435
500,0,3,0.1460175951563528,0.0025591313786989846
500,0,4,0.1278267396992457,0.0030961318941670943
500,0,5,0.12416904027524667,0.0026790366755932195
500,0,6,0.1370092319869979,0.004559102636317608
500,0,7,0.1692989754331309,0.005273754987458472
500,0,8,0.14547279039025293,0.0034522086935883725
500,1,1,0.2803502947349844,0.01011456848237111
500,1,2,0.19905104195353296,0.007854632333983693
500,1,3,0.1614814991345803,0.0032171257020441007
500,1,4,0.1323699855204594,0.0022590206800233584
500,1,5,0.140385301957895,0.006959684596759608
500,1,6,0.1451063708996039,0.0035888559277949643
500,1,7,0.15493283584132425,0.004224557410886644
500,1,8,0.4560112114822157,0.03990440371459177
500,2,1,0.28326082386282,0.011620270864342877
500,2,2,0.19814323503817968,0.0011286533927357325
500,2,3,0.15113881140026347,0.0031940344607449727
500,2,4,0.1281439254311906,0.0017876953419295525
500,2,5,0.16644456608997185,0.005481065184572596
500,2,6,0.14292762094685404,0.0033131449578968557
500,2,7,0.14560641461410292,0.0026096506165359263
500,2,8,0.16311100348349394,0.005183980194333982
500,4,1,0.27974607537971286,0.0035652734154873944
500,4,2,0.2010139885075781,0.005576385223879124
500,4,3,0.1708857058000527,0.03196266629366685
500,4,4,0.13180592742977615,0.0017143702487146275
500,4,5,0.14789167479330567,0.0030391175532977575
500,4,6,0.20141509854332038,0.009011274828339728
500,4,7,0.13297988216848242,0.0003518488507579337
500,4,8,0.20373955231968843,0.007435225128743875
